Grain,time_period,Buffer,Standard,Retail,DailyAvg,NoZerosDailyAvg
sorghum,p_sow,0.25,Log_3,Log_3,Log_3,Log_3
sorghum,p_grow,0.25,Log_3,Log_3,Log_3,Log_3
sorghum,p_harv,0.25,Log_3,Log_3,Log_3,Log_3
sorghum,p_sup,0.25,Log_Log,Log_Log,Log_3,Log_3
sorghum,p_onemonth,0.25,Log_3,Log_Log,Log_3,Log_Log
millet,p_sow,0.25,Log_3,Log_3,Log_2,Log_Log
millet,p_grow,0.25,Log_Log,Log_Log,Log_2,Log_Linear
millet,p_harv,0.25,Log_Log,Log_Log,Log_Log,Log_Log
millet,p_sup,0.25,Log_2,Log_2,Log_3,Log_Log
millet,p_onemonth,0.25,Log_3,NA,Log_3,Log_3
maize,p_sow,0.25,Log_Log,Log_Log,Log_2,Log_2
maize,p_grow,0.25,Log_Log,Log_2,Log_2,Log_Log
maize,p_harv,0.25,Log_3,Log_3,Log_3,Log_Log
maize,p_sup,0.25,Log_3,Log_Linear,Log_Linear,Log_Linear
maize,p_onemonth,0.25,Log_3,Log_3,Log_3,Log_3
sorghum,p_sow,1,Log_3,Log_3,Log_3,Log_3
sorghum,p_grow,1,Log_3,Log_3,Log_3,Log_Linear
sorghum,p_harv,1,Log_3,Log_3,Log_3,Log_Log
sorghum,p_sup,1,Log_Log,Log_Log,Log_3,Log_3
sorghum,p_onemonth,1,Log_3,Log_3,Log_3,Log_3
millet,p_sow,1,Log_2,Log_2,Log_2,Log_Log
millet,p_grow,1,Log_3,Log_3,Log_3,Log_Linear
millet,p_harv,1,Log_Log,Log_Log,Log_Log,Log_Log
millet,p_sup,1,Log_Log,Log_Log,Log_3,Log_Log
millet,p_onemonth,1,Log_2,NA,Log_2,Log_3
maize,p_sow,1,Log_Log,Log_Log,Log_2,Log_2
maize,p_grow,1,Log_3,Log_3,Log_3,Log_2
maize,p_harv,1,Log_Log,Log_Log,Log_Log,Log_Log
maize,p_sup,1,Log_Linear,Log_Linear,NA,Log_2
maize,p_onemonth,1,Log_3,NA,Log_2,Log_3
sorghum,p_sow,2,Log_3,Log_3,Log_3,Log_3
sorghum,p_grow,2,Log_3,Log_3,Log_3,Log_3
sorghum,p_harv,2,Log_3,Log_3,Log_3,Log_Log
sorghum,p_sup,2,Log_Log,Log_Log,Log_3,Log_3
sorghum,p_onemonth,2,Log_3,Log_3,Log_3,Log_3
millet,p_sow,2,Log_2,Log_2,Log_2,Log_2
millet,p_grow,2,Log_3,Log_3,Log_Log,Log_Log
millet,p_harv,2,Log_3,Log_3,Log_3,Log_Log
millet,p_sup,2,Log_Log,Log_Log,Log_3,Log_Log
millet,p_onemonth,2,Log_Linear,NA,Log_Linear,Log_3
maize,p_sow,2,Log_Log,Log_Log,Log_2,Log_2
maize,p_grow,2,Log_3,Log_2,Log_3,Log_2
maize,p_harv,2,Log_Log,Log_Log,Log_Log,Log_3
maize,p_sup,2,Log_Linear,Log_Linear,Log_2,NA
maize,p_onemonth,2,NA,NA,Log_2,Log_3
